abate;abates;is abateing:V
escort;escorts;is escortting:V
espy;espys;is espying:V
esterify;esterifys;is esterifying:V
estimate;estimates;is estimateing:V
estop;estops;is estoping:V
etherify;etherifys;is etherifying:V
ethylate;ethylates;is ethylateing:V
etiolate;etiolates;is etiolateing:V
etymologize;etymologizes;is etymologizeing:V
euhemerize;euhemerizes;is euhemerizeing:V
eulogize;eulogizes;is eulogizeing:V
euphemize;euphemizes;is euphemizeing:V
euphonize;euphonizes;is euphonizeing:V
evacuate;evacuates;is evacuateing:V
evade;evades;is evadeing:V
evangelize;evangelizes;is evangelizeing:V
evanish;evanishs;is evanishing:V
evaporate;evaporates;is evaporateing:V
even out;even outs;is even outting:V
even up;even ups;is even uping:V
evolve;evolves;is evolveing:V
exaggerate;exaggerates;is exaggerateing:V
excavate;excavates;is excavateing:V
excel;excels;is excelling:V
excerpt;excerpts;is excerptting:V
excise;excises;is exciseing:V
exclaim;exclaims;is exclaimming:V
excommunicate;excommunicates;is excommunicateing:V
excrete;excretes;is excreteing:V
excuse;excuses;is excuseing:V
exemplify;exemplifys;is exemplifying:V
exenterate;exenterates;is exenterateing:V
exercise;exercises;is exerciseing:V
exfoliate;exfoliates;is exfoliateing:V
exhale;exhales;is exhaleing:V
exhaust;exhausts;is exhaustting:V
exhibit;exhibits;is exhibitting:V
exhort;exhorts;is exhortting:V
exile;exiles;is exileing:V
expand;expands;is expandding:V
expatriate;expatriates;is expatriateing:V
expectorate;expectorates;is expectorateing:V
expel;expels;is expelling:V
experiment;experiments;is experimentting:V
expertize;expertizes;is expertizeing:V
explain;explains;is explainning:V
explant;explants;is explantting:V
explode;explodes;is explodeing:V
exploit;exploits;is exploitting:V
export;exports;is exportting:V
expound;expounds;is expoundding:V
exsiccate;exsiccates;is exsiccateing:V
extemporize;extemporizes;is extemporizeing:V
extend;extends;is extendding:V
extol;extols;is extolling:V
extract;extracts;is extractting:V
extrapolate;extrapolates;is extrapolateing:V
extravasate;extravasates;is extravasateing:V
exude;exudes;is exudeing:V
exuviate;exuviates;is exuviateing:V
eye;eyes;is eyeing:V
fable;fables;is fableing:V
face-off;face-offs;is face-offing:V
facet;facets;is facetting:V
face;faces;is faceing:V
facsimile;facsimiles;is facsimileing:V
fade-in;fade-ins;is fade-inning:V
fade-out;fade-outs;is fade-outting:V
fade;fades;is fadeing:V
fag;fags;is faging:V
fail;fails;is failling:V
fallen;fallens;is fallenning:V
fallout;fallouts;is falloutting:V
fall;falls;is fallling:V
falsify;falsifys;is falsifying:V
famish;famishs;is famishing:V
fanaticize;fanaticizes;is fanaticizeing:V
fantasize;fantasizes;is fantasizeing:V
fantasy;fantasys;is fantasying:V
fan;fans;is fanning:V
farrow;farrows;is farrowing:V
fascinate;fascinates;is fascinateing:V
fash;fashs;is fashing:V
fast talk;fast talks;is fast talking:V
fasten;fastens;is fastenning:V
fatigue;fatigues;is fatigueing:V
fatten;fattens;is fattenning:V
fattest;fattests;is fattestting:V
fault;faults;is faultting:V
fay;fays;is faying:V
fear;fears;is fearing:V
featherstitch;featherstitchs;is featherstitching:V
feaze;feazes;is feazeing:V
fecit;fecits;is fecitting:V
federate;federates;is federateing:V
feedback;feedbacks;is feedbacking:V
feel;feels;is feelling:V
fee;fees;is feeing:V
feign;feigns;is feignning:V
felicitate;felicitates;is felicitateing:V
fell;fells;is fellling:V
felt;felts;is feltting:V
feminize;feminizes;is feminizeing:V
ferment;ferments;is fermentting:V
ferret;ferrets;is ferretting:V
ferry;ferrys;is ferrying:V
fester;festers;is festering:V
fetch up;fetch ups;is fetch uping:V
fetch;fetchs;is fetching:V
fib;fibs;is fibing:V
fiddle;fiddles;is fiddleing:V
fife;fifes;is fifeing:V
fight;fights;is fightting:V
figure;figures;is figureing:V
fig;figs;is figing:V
filagree;filagrees;is filagreeing:V
file;files;is fileing:V
filibuster;filibusters;is filibustering:V
filigree;filigrees;is filigreeing:V
fill in;fill ins;is fill inning:V
fill out;fill outs;is fill outting:V
fill up;fill ups;is fill uping:V
fillagree;fillagrees;is fillagreeing:V
fill;fills;is fillling:V
film;films;is filmming:V
filter;filters;is filtering:V
filtrate;filtrates;is filtrateing:V
fimbriate;fimbriates;is fimbriateing:V
finagle;finagles;is finagleing:V
find;finds;is findding:V
fine-draw;fine-draws;is fine-drawing:V
finesse;finesses;is finesseing:V
finest;finests;is finestting:V
finish;finishs;is finishing:V
fire-cure;fire-cures;is fire-cureing:V
fire;fires;is fireing:V
firm;firms;is firmming:V
fissure;fissures;is fissureing:V
fixate;fixates;is fixateing:V
fixt;fixts;is fixtting:V
fix;fixs;is fixing:V
flag;flags;is flaging:V
flake;flakes;is flakeing:V
flameout;flameouts;is flameoutting:V
flame;flames;is flameing:V
flam;flams;is flamming:V
flank;flanks;is flanking:V
flannel;flannels;is flannelling:V
flap;flaps;is flaping:V
flare-up;flare-ups;is flare-uping:V
flare;flares;is flareing:V
flashback;flashbacks;is flashbacking:V
flash;flashs;is flashing:V
flatten;flattens;is flattenning:V
flatter;flatters;is flattering:V
flattest;flattests;is flattestting:V
flat;flats;is flatting:V
flaunt;flaunts;is flauntting:V
flaw;flaws;is flawing:V
fleer;fleers;is fleering:V
flee;flees;is fleeing:V
fletch;fletchs;is fletching:V
flew;flews;is flewing:V
flex;flexs;is flexing:V
fley;fleys;is fleying:V
flimflam;flimflams;is flimflamming:V
flip-flop;flip-flops;is flip-floping:V
flip;flips;is fliping:V
flitter;flitters;is flittering:V
flit;flits;is flitting:V
float;floats;is floatting:V
flocculate;flocculates;is flocculateing:V
flog;flogs;is floging:V
floodlight;floodlights;is floodlightting:V
floodlit;floodlits;is floodlitting:V
flood;floods;is floodding:V
floor;floors;is flooring:V
flop;flops;is floping:V
floruit;floruits;is floruitting:V
flout;flouts;is floutting:V
flown;flowns;is flownning:V
flow;flows;is flowing:V
fluctuate;fluctuates;is fluctuateing:V
fluff;fluffs;is fluffing:V
flung;flungs;is flunging:V
flunk;flunks;is flunking:V
fluoridate;fluoridates;is fluoridateing:V
fluorinate;fluorinates;is fluorinateing:V
fluorspar;fluorspars;is fluorsparing:V
flush;flushs;is flushing:V
fluster;flusters;is flustering:V
flute;flutes;is fluteing:V
flutter;flutters;is fluttering:V
flux;fluxs;is fluxing:V
flyblew;flyblews;is flyblewing:V
flyblow;flyblows;is flyblowing:V
flyte;flytes;is flyteing:V
fly;flys;is flying:V
foal;foals;is foalling:V
foam;foams;is foamming:V
fob;fobs;is fobing:V
focalize;focalizes;is focalizeing:V
focus;focuss;is focusing:V
fog;fogs;is foging:V
foin;foins;is foinning:V
fold up;fold ups;is fold uping:V
fold;folds;is foldding:V
foliate;foliates;is foliateing:V
folio;folios;is folioing:V
folk dance;folk dances;is folk danceing:V
follow through;follow throughs;is follow throughing:V
follow-on;follow-ons;is follow-onning:V
follow;follows;is following:V
footslog;footslogs;is footsloging:V
foot;foots;is footting:V
foozle;foozles;is foozleing:V
forage;forages;is forageing:V
foray;forays;is foraying:V
forbade;forbades;is forbadeing:V
forbbore;forbbores;is forbboreing:V
forbborne;forbbornes;is forbborneing:V
forbear;forbears;is forbearing:V
forbid;forbids;is forbidding:V
forbore;forbores;is forboreing:V
forborne;forbornes;is forborneing:V
fordone;fordones;is fordoneing:V
fordo;fordos;is fordoing:V
forebode;forebodes;is forebodeing:V
forecast;forecasts;is forecastting:V
foreclose;forecloses;is forecloseing:V
foredo;foredos;is foredoing:V
foreffelt;foreffelts;is foreffeltting:V
foregather;foregathers;is foregathering:V
forego;foregos;is foregoing:V
forehand;forehands;is forehandding:V
forejudge;forejudges;is forejudgeing:V
foreknow;foreknows;is foreknowing:V
forerun;foreruns;is forerunning:V
foresaw;foresaws;is foresawing:V
foreseen;foreseens;is foreseenning:V
foresee;foresees;is foreseeing:V
foreshow;foreshows;is foreshowing:V
forespeak;forespeaks;is forespeaking:V
foretaste;foretastes;is foretasteing:V
foretell;foretells;is foretellling:V
foretoken;foretokens;is foretokenning:V
foretold;foretolds;is foretoldding:V
forewent;forewents;is forewentting:V
forgat;forgats;is forgatting:V
forgave;forgaves;is forgaveing:V
forget;forgets;is forgetting:V
forgiven;forgivens;is forgivenning:V
forgive;forgives;is forgiveing:V
forgotten;forgottens;is forgottenning:V
forgot;forgots;is forgotting:V
forgo;forgos;is forgoing:V
fork out;fork outs;is fork outting:V
formalize;formalizes;is formalizeing:V
format;formats;is formatting:V
formularize;formularizes;is formularizeing:V
form;forms;is formming:V
forsaken;forsakens;is forsakenning:V
forsake;forsakes;is forsakeing:V
forsook;forsooks;is forsooking:V
forspeak;forspeaks;is forspeaking:V
forswear;forswears;is forswearing:V
forswore;forswores;is forsworeing:V
forsworn;forsworns;is forswornning:V
fortify;fortifys;is fortifying:V
fortune;fortunes;is fortuneing:V
forwent;forwents;is forwentting:V
fossick;fossicks;is fossicking:V
fossilize;fossilizes;is fossilizeing:V
fought;foughts;is foughtting:V
foul up;foul ups;is foul uping:V
foul;fouls;is foulling:V
found;founds;is foundding:V
four flush;four flushs;is four flushing:V
foxtrot;foxtrots;is foxtrotting:V
fractionate;fractionates;is fractionateing:V
fractionize;fractionizes;is fractionizeing:V
fracture;fractures;is fractureing:V
fragment;fragments;is fragmentting:V
frag;frags;is fraging:V
frame;frames;is frameing:V
frank;franks;is franking:V
frap;fraps;is fraping:V
fray;frays;is fraying:V
frazzle;frazzles;is frazzleing:V
freak out;freak outs;is freak outting:V
freak;freaks;is freaking:V
freckle;freckles;is freckleing:V
freelance;freelances;is freelanceing:V
freest;freests;is freestting:V
freeze-dry;freeze-drys;is freeze-drying:V
freeze;freezes;is freezeing:V
free;frees;is freeing:V
French-polish;French-polishs;is French-polishing:V
Frenchify;Frenchifys;is Frenchifying:V
frenzy;frenzys;is frenzying:V
frequent;frequents;is frequentting:V
freshen;freshens;is freshenning:V
fresh;freshs;is freshing:V
fret;frets;is fretting:V
fricassee;fricassees;is fricasseeing:V
fries;friess;is friesing:V
frig;frigs;is friging:V
frit;frits;is fritting:V
frivol;frivols;is frivolling:V
frizzes;frizzess;is frizzesing:V
frizzle;frizzles;is frizzleing:V
frizz;frizzes;is frizzing:V
frog;frogs;is froging:V
frolic;frolics;is frolicing:V
front;fronts;is frontting:V
frost;frosts;is frostting:V
froth;froths;is frothing:V
frozen;frozens;is frozenning:V
froze;frozes;is frozeing:V
fructify;fructifys;is fructifying:V
fruit;fruits;is fruitting:V
fry;frys;is frying:V
fuck about;fuck abouts;is fuck aboutting:V
fuck;fucks;is fucking:V
fuel;fuels;is fuelling:V
fulfil;fulfils;is fulfilling:V
full;fulls;is fullling:V
fumigate;fumigates;is fumigateing:V
funk;funks;is funking:V
funnel;funnels;is funnelling:V
fun;funs;is funning:V
furcate;furcates;is furcateing:V
furl;furls;is furlling:V
furrow;furrows;is furrowing:V
fur;furs;is furing:V
fuse;fuses;is fuseing:V
fuzz;fuzzs;is fuzzing:V
gabble;gabbles;is gabbleing:V
gab;gabs;is gabing:V
gad;gads;is gadding:V
gage;gages;is gageing:V
gag;gags;is gaging:V
gainsaid;gainsaids;is gainsaidding:V
gainsay;gainsays;is gainsaying:V
gallant;gallants;is gallantting:V
Gallicize;Gallicizes;is Gallicizeing:V
gallop;gallops;is galloping:V
gall;galls;is gallling:V
gambol;gambols;is gambolling:V
gammon;gammons;is gammonning:V
gam;gams;is gamming:V
gang up;gang ups;is gang uping:V
gang;gangs;is ganging:V
gan;gans;is ganning:V
gaol;gaols;is gaolling:V
gap;gaps;is gaping:V
garden;gardens;is gardenning:V
gargle;gargles;is gargleing:V
garnishee;garnishees;is garnisheeing:V
garotte;garottes;is garotteing:V
gasify;gasifys;is gasifying:V
gas;gass;is gasing:V
gate-crash;gate-crashs;is gate-crashing:V
gather;gathers;is gathering:V
gat;gats;is gatting:V
gauffer;gauffers;is gauffering:V
gaup;gaups;is gauping:V
gave;gaves;is gaveing:V
gazump;gazumps;is gazumping:V
gear down;gear downs;is gear downning:V
gear up;gear ups;is gear uping:V
gee;gees;is geeing:V
gelatinize;gelatinizes;is gelatinizeing:V
geld;gelds;is geldding:V
gelt;gelts;is geltting:V
gel;gels;is gelling:V
geminate;geminates;is geminateing:V
gem;gems;is gemming:V
gen up;gen ups;is gen uping:V
generalize;generalizes;is generalizeing:V
generate;generates;is generateing:V
geologize;geologizes;is geologizeing:V
Germanize;Germanizes;is Germanizeing:V
germinate;germinates;is germinateing:V
gerrymander;gerrymanders;is gerrymandering:V
gestate;gestates;is gestateing:V
gesticulate;gesticulates;is gesticulateing:V
gesture;gestures;is gestureing:V
get across;get acrosss;is get acrossing:V
get around;get arounds;is get aroundding:V
get away;get aways;is get awaying:V
get back;get backs;is get backing:V
get by;get bys;is get bying:V
get down;get downs;is get downning:V
get into;get intos;is get intoing:V
get in;get ins;is get inning:V
get onto;get ontos;is get ontoing:V
get on;get ons;is get onning:V
get over;get overs;is get overing:V
get through;get throughs;is get throughing:V
get up;get ups;is get uping:V
get-together;get-togethers;is get-togethering:V
get;gets;is getting:V
ghostwrite;ghostwrites;is ghostwriteing:V
ghost;ghosts;is ghostting:V
gibber;gibbers;is gibbering:V
gibe;gibes;is gibeing:V
gib;gibs;is gibing:V
gie;gies;is gieing:V
gift-wrapt;gift-wrapts;is gift-wraptting:V
giftwrap;giftwraps;is giftwraping:V
gig;gigs;is giging:V
gild;gilds;is gildding:V
gill;gills;is gillling:V
gilt;gilts;is giltting:V
gimlet;gimlets;is gimletting:V
gimme;gimmes;is gimmeing:V
gin;gins;is ginning:V
gip;gips;is giping:V
gird;girds;is girdding:V
girth;girths;is girthing:V
girt;girts;is girtting:V
give in;give ins;is give inning:V
give out;give outs;is give outting:V
give over;give overs;is give overing:V
give up;give ups;is give uping:V
give-and-take;give-and-takes;is give-and-takeing:V
given;givens;is givenning:V
give;gives;is giveing:V
glace;glaces;is glaceing:V
glaciate;glaciates;is glaciateing:V
glad hand;glad hands;is glad handding:V
gladden;gladdens;is gladdenning:V
glamorize;glamorizes;is glamorizeing:V
glean;gleans;is gleanning:V
glide;glides;is glideing:V
glimpse;glimpses;is glimpseing:V
glint;glints;is glintting:V
glister;glisters;is glistering:V
globe;globes;is globeing:V
glorify;glorifys;is glorifying:V
glory;glorys;is glorying:V
gloss;glosss;is glossing:V
glue;glues;is glueing:V
glut;gluts;is glutting:V
gnash;gnashs;is gnashing:V
gnawn;gnawns;is gnawnning:V
gnaw;gnaws;is gnawing:V
go slow;go slows;is go slowing:V
gobble;gobbles;is gobbleing:V
gob;gobs;is gobing:V
goes;goess;is goesing:V
gollop;gollops;is golloping:V
golly;gollys;is gollying:V
gone;gones;is goneing:V
gonna;gonnas;is gonnaing:V
goof;goofs;is goofing:V
goose step;goose steps;is goose steping:V
gorge;gorges;is gorgeing:V
gormandize;gormandizes;is gormandizeing:V
gotta;gottas;is gottaing:V
gotten;gottens;is gottenning:V
got;gots;is gotting:V
gouge;gouges;is gougeing:V
govern;governs;is governning:V
go;gos;is going:V
grab;grabs;is grabing:V
gradate;gradates;is gradateing:V
graduate;graduates;is graduateing:V
Graecize;Graecizes;is Graecizeing:V
graft;grafts;is graftting:V
grain;grains;is grainning:V
granulate;granulates;is granulateing:V
grapple;grapples;is grappleing:V
grasp;grasps;is grasping:V
grass;grasss;is grassing:V
gratify;gratifys;is gratifying:V
gravel;gravels;is gravelling:V
graven;gravens;is gravenning:V
grave;graves;is graveing:V
gray;grays;is graying:V
graze;grazes;is grazeing:V
grease;greases;is greaseing:V
greaten;greatens;is greatenning:V
Grecize;Grecizes;is Grecizeing:V
green;greens;is greenning:V
gree;grees;is greeing:V
grew;grews;is grewing:V
grey;greys;is greying:V
grieve;grieves;is grieveing:V
grill;grills;is grillling:V
grind;grinds;is grindding:V
grin;grins;is grinning:V
gript;gripts;is griptting:V
grip;grips;is griping:V
grit;grits;is gritting:V
grizzle;grizzles;is grizzleing:V
groan;groans;is groanning:V
grok;groks;is groking:V
gross;grosss;is grossing:V
grouch;grouchs;is grouching:V
ground;grounds;is groundding:V
group;groups;is grouping:V
grovel;grovels;is grovelling:V
growl;growls;is growlling:V
grow;grows;is growing:V
grub;grubs;is grubing:V
grumble;grumbles;is grumbleing:V
guarantee;guarantees;is guaranteeing:V
guaranty;guarantys;is guarantying:V
guard;guards;is guardding:V
guesstimate;guesstimates;is guesstimateing:V
guess;guesss;is guessing:V
guffaw;guffaws;is guffawing:V
gufought;gufoughts;is gufoughtting:V
guide;guides;is guideing:V
guillotine;guillotines;is guillotineing:V
guise;guises;is guiseing:V
gully;gullys;is gullying:V
gumshoe;gumshoes;is gumshoeing:V
gum;gums;is gumming:V
guns;gunss;is gunsing:V
gun;guns;is gunning:V
gush;gushs;is gushing:V
guzzle;guzzles;is guzzleing:V
gwine;gwines;is gwineing:V
gyp;gyps;is gyping:V
gyrate;gyrates;is gyrateing:V
habituate;habituates;is habituateing:V
hackle;hackles;is hackleing:V
hacksaw;hacksaws;is hacksawing:V
hack;hacks;is hacking:V
hadst;hadsts;is hadstting:V
had;hads;is hadding:V
haen;haens;is haenning:V
hae;haes;is haeing:V
hail;hails;is hailling:V
half volley;half volleys;is half volleying:V
halloo;halloos;is hallooing:V
hallo;hallos;is halloing:V
halogenate;halogenates;is halogenateing:V
halo;halos;is haloing:V
halt;halts;is haltting:V
hammer;hammers;is hammering:V
ham;hams;is hamming:V
hand-knit;hand-knits;is hand-knitting:V
hand-off;hand-offs;is hand-offing:V
hand-out;hand-outs;is hand-outting:V
handicap;handicaps;is handicaping:V
handle;handles;is handleing:V
handsel;handsels;is handselling:V
hang out;hang outs;is hang outting:V
hang up;hang ups;is hang uping:V
hang;hangs;is hanging:V
hanker;hankers;is hankering:V
hansel;hansels;is hanselling:V
hap;haps;is haping:V
harangue;harangues;is harangueing:V
harden off;harden offs;is harden offing:V
harden;hardens;is hardenning:V
harken;harkens;is harkenning:V
harmonize;harmonizes;is harmonizeing:V
harry;harrys;is harrying:V
harvest;harvests;is harvestting:V
hassle;hassles;is hassleing:V
hasten;hastens;is hastenning:V
haste;hastes;is hasteing:V
hast;hasts;is hastting:V
has;hass;is hasing:V
hatchel;hatchels;is hatchelling:V
hatch;hatchs;is hatching:V
hate;hates;is hateing:V
hath;haths;is hathing:V
hat;hats;is hatting:V
haul up;haul ups;is haul uping:V
haul;hauls;is haulling:V
haunt;haunts;is hauntting:V
have;haves;is haveing:V
havoc;havocs;is havocing:V
hawk;hawks;is hawking:V
hay;hays;is haying:V
haze;hazes;is hazeing:V
head for;head fors;is head foring:V
heal;heals;is healling:V
heap;heaps;is heaping:V
heard;heards;is heardding:V
hearken;hearkens;is hearkenning:V
hearten;heartens;is heartenning:V
heart;hearts;is heartting:V
hear;hears;is hearing:V
heathenize;heathenizes;is heathenizeing:V
heat;heats;is heatting:V
heave to;heave tos;is heave toing:V
heave;heaves;is heaveing:V
hebetate;hebetates;is hebetateing:V
Hebraize;Hebraizes;is Hebraizeing:V
heckle;heckles;is heckleing:V
hector;hectors;is hectoring:V
hedgehop;hedgehops;is hedgehoping:V
heel;heels;is heelling:V
heighten;heightens;is heightenning:V
held;helds;is heldding:V
Hellenize;Hellenizes;is Hellenizeing:V
help out;help outs;is help outting:V
help;helps;is helping:V
hemstitch;hemstitchs;is hemstitching:V
hem;hems;is hemming:V
herd;herds;is herdding:V
hero worship;hero worships;is hero worshiping:V
herringbone;herringbones;is herringboneing:V
heterodyne;heterodynes;is heterodyneing:V
het;hets;is hetting:V
hewn;hewns;is hewnning:V
hew;hews;is hewing:V
hiccup;hiccups;is hiccuping:V
hidden;hiddens;is hiddenning:V
hide-out;hide-outs;is hide-outting:V
hide;hides;is hideing:V
hid;hids;is hidding:V
hie;hies;is hieing:V
higgle;higgles;is higgleing:V
high-hat;high-hats;is high-hatting:V
highjack;highjacks;is highjacking:V
hinder;hinders;is hindering:V
hinny;hinnys;is hinnying:V
hint;hints;is hintting:V
hit on;hit ons;is hit onning:V
hitch;hitchs;is hitching:V
hit;hits;is hitting:V
hive off;hive offs;is hive offing:V
hive;hives;is hiveing:V
hoard;hoards;is hoardding:V
hoarsen;hoarsens;is hoarsenning:V
hobnob;hobnobs;is hobnobing:V
hob;hobs;is hobing:V
hock;hocks;is hocking:V
hocus-pocus;hocus-pocuss;is hocus-pocusing:V
hocus;hocuss;is hocusing:V
hoe;hoes;is hoeing:V
hogtie;hogties;is hogtieing:V
hog;hogs;is hoging:V
hoick;hoicks;is hoicking:V
hoiden;hoidens;is hoidenning:V
hold back;hold backs;is hold backing:V
hold forth;hold forths;is hold forthing:V
hold off;hold offs;is hold offing:V
hold out;hold outs;is hold outting:V
hold together;hold togethers;is hold togethering:V
hold-up;hold-ups;is hold-uping:V
holden;holdens;is holdenning:V
hold;holds;is holdding:V
hole;holes;is holeing:V
holler;hollers;is hollering:V
hollow;hollows;is hollowing:V
holpen;holpens;is holpenning:V
holp;holps;is holping:V
homage;homages;is homageing:V
homologize;homologizes;is homologizeing:V
honey;honeys;is honeying:V
honk;honks;is honking:V
honor;honors;is honoring:V
hoodoo;hoodoos;is hoodooing:V
hook-up;hook-ups;is hook-uping:V
hook;hooks;is hooking:V
hoop;hoops;is hooping:V
hooray;hoorays;is hooraying:V
hoot;hoots;is hootting:V
Hoover;Hoovers;is Hoovering:V
hopple;hopples;is hoppleing:V
hop;hops;is hoping:V
horrify;horrifys;is horrifying:V
horseshoe;horseshoes;is horseshoeing:V
horsewhip;horsewhips;is horsewhiping:V
hose;hoses;is hoseing:V
host;hosts;is hostting:V
hot up;hot ups;is hot uping:V
hot-dog;hot-dogs;is hot-doging:V
hotfoot;hotfoots;is hotfootting:V
hottest;hottests;is hottestting:V
housel;housels;is houselling:V
house;houses;is houseing:V
hovel;hovels;is hovelling:V
hove;hoves;is hoveing:V
howl;howls;is howlling:V
huddle;huddles;is huddleing:V
huff;huffs;is huffing:V
huggermugger;huggermuggers;is huggermuggering:V
hug;hugs;is huging:V
hull;hulls;is hullling:V
humanize;humanizes;is humanizeing:V
humbug;humbugs;is humbuging:V
humidify;humidifys;is humidifying:V
hump;humps;is humping:V
hum;hums;is humming:V
hunch;hunchs;is hunching:V
hunger;hungers;is hungering:V
hung;hungs;is hunging:V
hunt down;hunt downs;is hunt downning:V
hunt up;hunt ups;is hunt uping:V
hunt;hunts;is huntting:V
hurdle;hurdles;is hurdleing:V
hurrah;hurrahs;is hurrahing:V
hurries;hurriess;is hurriesing:V
hurry;hurrys;is hurrying:V
hurtle;hurtles;is hurtleing:V
hurt;hurts;is hurtting:V
husband;husbands;is husbandding:V
hush;hushs;is hushing:V
hustle;hustles;is hustleing:V
hut;huts;is hutting:V
huzzah;huzzahs;is huzzahing:V
hybridize;hybridizes;is hybridizeing:V
hydrate;hydrates;is hydrateing:V
hydrogenize;hydrogenizes;is hydrogenizeing:V
hydrolyse;hydrolyses;is hydrolyseing:V
hymn;hymns;is hymnning:V
hyperbolize;hyperbolizes;is hyperbolizeing:V
hypertrophy;hypertrophys;is hypertrophying:V
hypocopy;hypocopys;is hypocopying:V
hypostasize;hypostasizes;is hypostasizeing:V
hypothesize;hypothesizes;is hypothesizeing:V
ice skate;ice skates;is ice skateing:V
ice;ices;is iceing:V
idealize;idealizes;is idealizeing:V
ideate;ideates;is ideateing:V
identify;identifys;is identifying:V
idle;idles;is idleing:V
ignite;ignites;is igniteing:V
ill-use;ill-uses;is ill-useing:V
illude;illudes;is illudeing:V
illumine;illumines;is illumineing:V
illustrate;illustrates;is illustrateing:V
imagine;imagines;is imagineing:V
imbibe;imbibes;is imbibeing:V
imbricate;imbricates;is imbricateing:V
imbrue;imbrues;is imbrueing:V
imbue;imbues;is imbueing:V
immerge;immerges;is immergeing:V
immesh;immeshs;is immeshing:V
immingle;immingles;is immingleing:V
immunize;immunizes;is immunizeing:V
impact;impacts;is impactting:V
impanel;impanels;is impanelling:V
impel;impels;is impelling:V
implant;implants;is implantting:V
implement;implements;is implementting:V
implode;implodes;is implodeing:V
imply;implys;is implying:V
impolder;impolders;is impoldering:V
import;imports;is importting:V
impose;imposes;is imposeing:V
impower;impowers;is impowering:V
impregnate;impregnates;is impregnateing:V
impress;impresss;is impressing:V
imprint;imprints;is imprintting:V
impropriate;impropriates;is impropriateing:V
improve;improves;is improveing:V
improvise;improvises;is improviseing:V
incapsulate;incapsulates;is incapsulateing:V
incarcerate;incarcerates;is incarcerateing:V
incarnate;incarnates;is incarnateing:V
incase;incases;is incaseing:V
incense;incenses;is incenseing:V
inchoate;inchoates;is inchoateing:V
inch;inchs;is inching:V
incinerate;incinerates;is incinerateing:V
incline;inclines;is inclineing:V
inclose;incloses;is incloseing:V
incorporate;incorporates;is incorporateing:V
incrassate;incrassates;is incrassateing:V
increase;increases;is increaseing:V
incross;incrosss;is incrossing:V
incrust;incrusts;is incrustting:V
incubate;incubates;is incubateing:V
incumber;incumbers;is incumbering:V
incurvate;incurvates;is incurvateing:V
incurve;incurves;is incurveing:V
incur;incurs;is incuring:V
incuse;incuses;is incuseing:V
indemnify;indemnifys;is indemnifying:V
indent;indents;is indentting:V
indorse;indorses;is indorseing:V
indue;indues;is indueing:V
indulge;indulges;is indulgeing:V
indurate;indurates;is indurateing:V
indwell;indwells;is indwellling:V
indwelt;indwelts;is indweltting:V
inebriate;inebriates;is inebriateing:V
infatuate;infatuates;is infatuateing:V
infect;infects;is infectting:V
infer;infers;is infering:V
infiltrate;infiltrates;is infiltrateing:V
infix;infixs;is infixing:V
inflame;inflames;is inflameing:V
inflate;inflates;is inflateing:V
inflect;inflects;is inflectting:V
infuriate;infuriates;is infuriateing:V
ingraft;ingrafts;is ingraftting:V
ingrain;ingrains;is ingrainning:V
ingurgitate;ingurgitates;is ingurgitateing:V
inhale;inhales;is inhaleing:V
inherit;inherits;is inheritting:V
initial;initials;is initialling:V
initiate;initiates;is initiateing:V
ink in;ink ins;is ink inning:V
ink up;ink ups;is ink uping:V
inlay;inlays;is inlaying:V
inlet;inlets;is inletting:V
inmesh;inmeshs;is inmeshing:V
innovate;innovates;is innovateing:V
inoculate;inoculates;is inoculateing:V
inosculate;inosculates;is inosculateing:V
insert;inserts;is insertting:V
inset;insets;is insetting:V
inshrine;inshrines;is inshrineing:V
insinuate;insinuates;is insinuateing:V
insist;insists;is insistting:V
insnare;insnares;is insnareing:V
inspan;inspans;is inspanning:V
insphere;inspheres;is insphereing:V
inspire;inspires;is inspireing:V
inspissate;inspissates;is inspissateing:V
install;installs;is installling:V
instrument;instruments;is instrumentting:V
insult;insults;is insultting:V
insure;insures;is insureing:V
integrate;integrates;is integrateing:V
intellectualize;intellectualizes;is intellectualizeing:V
intend;intends;is intendding:V
intensify;intensifys;is intensifying:V
intercept;intercepts;is interceptting:V
interchaff;interchaffs;is interchaffing:V
interchange;interchanges;is interchangeing:V
intercirculate;intercirculates;is intercirculateing:V
interclash;interclashs;is interclashing:V
intercolonize;intercolonizes;is intercolonizeing:V
intercrop;intercrops;is intercroping:V
intercross;intercrosss;is intercrossing:V
intercurl;intercurls;is intercurlling:V
intercut;intercuts;is intercutting:V
interdebate;interdebates;is interdebateing:V
interdict;interdicts;is interdictting:V
interdiffuse;interdiffuses;is interdiffuseing:V
interembrace;interembraces;is interembraceing:V
interfuse;interfuses;is interfuseing:V
intergossip;intergossips;is intergossiping:V
intergrade;intergrades;is intergradeing:V
intergrapple;intergrapples;is intergrappleing:V
interinfluence;interinfluences;is interinfluenceing:V
interlace;interlaces;is interlaceing:V
interlap;interlaps;is interlaping:V
interlay;interlays;is interlaying:V
interlock;interlocks;is interlocking:V
intermarry;intermarrys;is intermarrying:V
intermediate;intermediates;is intermediateing:V
intermention;intermentions;is intermentionning:V
intermit;intermits;is intermitting:V
intern;interns;is internning:V
interoscillate;interoscillates;is interoscillateing:V
