abate;abates;is abating:Verb
bang up;bang ups;is bang uping:Transitive_Verb
bang;bangs;is banging:Transitive_Verb
banish;banishs;is banishing:Transitive_Verb
bankroll;bankrolls;is bankrollling:Transitive_Verb
bankrupt;bankrupts;is bankrupting:Transitive_Verb
bank;banks;is banking:Transitive_Verb
ban;bans;is baning:Transitive_Verb
baptise;baptises;is baptiseing:Transitive_Verb
baptize;baptizes;is baptizeing:Transitive_Verb
barbarianize;barbarianizes;is barbarianizeing:Transitive_Verb
barbarise;barbarises;is barbariseing:Transitive_Verb
barbecue;barbecues;is barbecueing:Transitive_Verb
barbeque;barbeques;is barbequeing:Transitive_Verb
barber;barbers;is barbering:Transitive_Verb
barb;barbs;is barbing:Transitive_Verb
barde;bardes;is bardeing:Transitive_Verb
bard;bards;is barding:Transitive_Verb
bare;bares;is bareing:Transitive_Verb
bargain away;bargain aways;is bargain awaying:Transitive_Verb
barge;barges;is bargeing:Transitive_Verb
bark;barks;is barking:Transitive_Verb
barley-sugar;barley-sugars;is barley-sugaring:Transitive_Verb
baronetise;baronetises;is baronetiseing:Transitive_Verb
baronetize;baronetizes;is baronetizeing:Transitive_Verb
baronize;baronizes;is baronizeing:Transitive_Verb
barrage;barrages;is barrageing:Transitive_Verb
barricade;barricades;is barricadeing:Transitive_Verb
barricado;barricados;is barricadoing:Transitive_Verb
bar;bars;is baring:Transitive_Verb
base;bases;is baseing:Transitive_Verb
bash up;bash ups;is bash uping:Transitive_Verb
bash;bashs;is bashing:Transitive_Verb
basiate;basiates;is basiateing:Transitive_Verb
bastard-sawn;bastard-sawns;is bastard-sawning:Transitive_Verb
bastard-saw;bastard-saws;is bastard-sawing:Transitive_Verb
bastardise;bastardises;is bastardiseing:Transitive_Verb
bastardize;bastardizes;is bastardizeing:Transitive_Verb
baste;bastes;is basteing:Transitive_Verb
bastinade;bastinades;is bastinadeing:Transitive_Verb
bat around;bat arounds;is bat arounding:Transitive_Verb
bate;bates;is bateing:Transitive_Verb
bathe;bathes;is batheing:Transitive_Verb
batten;battens;is battening:Transitive_Verb
batter;batters;is battering:Transitive_Verb
battologise;battologises;is battologiseing:Transitive_Verb
battologize;battologizes;is battologizeing:Transitive_Verb
bawl out;bawl outs;is bawl outing:Transitive_Verb
bay;bays;is baying:Transitive_Verb
bead;beads;is beading:Transitive_Verb
beam;beams;is beamming:Transitive_Verb
bean;beans;is beaning:Transitive_Verb
bear out;bear outs;is bear outing:Transitive_Verb
beard;beards;is bearding:Transitive_Verb
beat up;beat ups;is beat uping:Transitive_Verb
beatify;beatifys;is beatifying:Transitive_Verb
beat;beats;is beating:Transitive_Verb
becalm;becalms;is becalmming:Transitive_Verb
becharm;becharms;is becharmming:Transitive_Verb
beclasp;beclasps;is beclasping:Transitive_Verb
becloud;beclouds;is beclouding:Transitive_Verb
becrawl;becrawls;is becrawlling:Transitive_Verb
becripple;becripples;is becrippleing:Transitive_Verb
bedabble;bedabbles;is bedabbleing:Transitive_Verb
bedash;bedashs;is bedashing:Transitive_Verb
bedaub;bedaubs;is bedaubing:Transitive_Verb
bedazzle;bedazzles;is bedazzleing:Transitive_Verb
bedeck;bedecks;is bedecking:Transitive_Verb
bedew;bedews;is bedewing:Transitive_Verb
bedizen;bedizens;is bedizening:Transitive_Verb
bedlamise;bedlamises;is bedlamiseing:Transitive_Verb
bedlamize;bedlamizes;is bedlamizeing:Transitive_Verb
bedrabble;bedrabbles;is bedrabbleing:Transitive_Verb
bedraggle;bedraggles;is bedraggleing:Transitive_Verb
bedrench;bedrenchs;is bedrenching:Transitive_Verb
beef;beefs;is beefing:Transitive_Verb
beek;beeks;is beeking:Transitive_Verb
beestride;beestrides;is beestrideing:Transitive_Verb
beeswax;beeswaxs;is beeswaxing:Transitive_Verb
beetle;beetles;is beetleing:Transitive_Verb
befall;befalls;is befallling:Transitive_Verb
beflag;beflags;is beflaging:Transitive_Verb
befool;befools;is befoolling:Transitive_Verb
befoul;befouls;is befoulling:Transitive_Verb
befriend;befriends;is befriending:Transitive_Verb
befuddle;befuddles;is befuddleing:Transitive_Verb
begem;begems;is begemming:Transitive_Verb
beget;begets;is begeting:Transitive_Verb
beggar;beggars;is beggaring:Transitive_Verb
begirt;begirts;is begirting:Transitive_Verb
begrime;begrimes;is begrimeing:Transitive_Verb
begrudge;begrudges;is begrudgeing:Transitive_Verb
behead;beheads;is beheading:Transitive_Verb
behoove;behooves;is behooveing:Transitive_Verb
behove;behoves;is behoveing:Transitive_Verb
belabor;belabors;is belaboring:Transitive_Verb
belabour;belabours;is belabouring:Transitive_Verb
belaud;belauds;is belauding:Transitive_Verb
beleaguer;beleaguers;is beleaguering:Transitive_Verb
believe;believes;is believeing:Transitive_Verb
belittle;belittles;is belittleing:Transitive_Verb
belly-land;belly-lands;is belly-landing:Transitive_Verb
bell;bells;is bellling:Transitive_Verb
belove;beloves;is beloveing:Transitive_Verb
belt out;belt outs;is belt outing:Transitive_Verb
belt;belts;is belting:Transitive_Verb
bemaul;bemauls;is bemaulling:Transitive_Verb
bemire;bemires;is bemireing:Transitive_Verb
bemock;bemocks;is bemocking:Transitive_Verb
bemuddle;bemuddles;is bemuddleing:Transitive_Verb
bemuse;bemuses;is bemuseing:Transitive_Verb
benchmark;benchmarks;is benchmarking:Transitive_Verb
bench;benchs;is benching:Transitive_Verb
bend;bends;is bending:Transitive_Verb
benefice;benefices;is beneficeing:Transitive_Verb
beneficiate;beneficiates;is beneficiateing:Transitive_Verb
benumb;benumbs;is benumbing:Transitive_Verb
benzoylate;benzoylates;is benzoylateing:Transitive_Verb
bepaint;bepaints;is bepainting:Transitive_Verb
bequeath;bequeaths;is bequeathing:Transitive_Verb
berascal;berascals;is berascalling:Transitive_Verb
berate;berates;is berateing:Transitive_Verb
bereareft;berearefts;is berearefting:Transitive_Verb
bereave;bereaves;is bereaveing:Transitive_Verb
berhyme;berhymes;is berhymeing:Transitive_Verb
berime;berimes;is berimeing:Transitive_Verb
berth;berths;is berthing:Transitive_Verb
bescreen;bescreens;is bescreening:Transitive_Verb
bescribble;bescribbles;is bescribbleing:Transitive_Verb
beshrew;beshrews;is beshrewing:Transitive_Verb
besiege;besieges;is besiegeing:Transitive_Verb
besmear;besmears;is besmearing:Transitive_Verb
besmirch;besmirchs;is besmirching:Transitive_Verb
besom;besoms;is besomming:Transitive_Verb
besot;besots;is besoting:Transitive_Verb
bespangle;bespangles;is bespangleing:Transitive_Verb
bespatter;bespatters;is bespattering:Transitive_Verb
besprinkle;besprinkles;is besprinkleing:Transitive_Verb
bestialise;bestialises;is bestialiseing:Transitive_Verb
bestialize;bestializes;is bestializeing:Transitive_Verb
bestow;bestows;is bestowing:Transitive_Verb
bestraddle;bestraddles;is bestraddleing:Transitive_Verb
bestrewn;bestrewns;is bestrewning:Transitive_Verb
bestridden;bestriddens;is bestriddening:Transitive_Verb
bestride;bestrides;is bestrideing:Transitive_Verb
bestrid;bestrids;is bestriding:Transitive_Verb
bestrode;bestrodes;is bestrodeing:Transitive_Verb
bestrown;bestrowns;is bestrowning:Transitive_Verb
bestrow;bestrows;is bestrowing:Transitive_Verb
bestud;bestuds;is bestuding:Transitive_Verb
best;bests;is besting:Transitive_Verb
betaken;betakens;is betakening:Transitive_Verb
bete;betes;is beteing:Transitive_Verb
bethink;bethinks;is bethinking:Transitive_Verb
betoken;betokens;is betokening:Transitive_Verb
betray;betrays;is betraying:Transitive_Verb
betroth;betroths;is betrothing:Transitive_Verb
better;betters;is bettering:Transitive_Verb
beweep;beweeps;is beweeping:Transitive_Verb
bewilder;bewilders;is bewildering:Transitive_Verb
bewitch;bewitchs;is bewitching:Transitive_Verb
bewray;bewrays;is bewraying:Transitive_Verb
bewwept;bewwepts;is bewwepting:Transitive_Verb
bias;biass;is biasing:Transitive_Verb
bide;bides;is bideing:Transitive_Verb
biff;biffs;is biffing:Transitive_Verb
bigg;biggs;is bigging:Transitive_Verb
bight;bights;is bighting:Transitive_Verb
bilge;bilges;is bilgeing:Transitive_Verb
bilk;bilks;is bilking:Transitive_Verb
billet;billets;is billeting:Transitive_Verb
bill;bills;is billling:Transitive_Verb
bind over;bind overs;is bind overing:Transitive_Verb
bind;binds;is binding:Transitive_Verb
bio-assay;bio-assays;is bio-assaying:Transitive_Verb
bioassay;bioassays;is bioassaying:Transitive_Verb
birch;birchs;is birching:Transitive_Verb
birdlime;birdlimes;is birdlimeing:Transitive_Verb
birk;birks;is birking:Transitive_Verb
birle;birles;is birleing:Transitive_Verb
birth;births;is birthing:Transitive_Verb
bisect;bisects;is bisecting:Transitive_Verb
bitch;bitchs;is bitching:Transitive_Verb
bite back;bite backs;is bite backing:Transitive_Verb
bite;bites;is biteing:Transitive_Verb
bitt;bitts;is bitting:Transitive_Verb
bituminise;bituminises;is bituminiseing:Transitive_Verb
bituminize;bituminizes;is bituminizeing:Transitive_Verb
bit;bits;is biting:Transitive_Verb
black-market;black-markets;is black-marketing:Transitive_Verb
blackball;blackballs;is blackballling:Transitive_Verb
blackbird;blackbirds;is blackbirding:Transitive_Verb
blacken;blackens;is blackening:Transitive_Verb
blackguard;blackguards;is blackguarding:Transitive_Verb
blackjack;blackjacks;is blackjacking:Transitive_Verb
blacklist;blacklists;is blacklisting:Transitive_Verb
blackmail;blackmails;is blackmailling:Transitive_Verb
blackout;blackouts;is blackouting:Transitive_Verb
black;blacks;is blacking:Transitive_Verb
blame;blames;is blameing:Transitive_Verb
blanch;blanchs;is blanching:Transitive_Verb
blandish;blandishs;is blandishing:Transitive_Verb
blanket-stitch;blanket-stitchs;is blanket-stitching:Transitive_Verb
blanket;blankets;is blanketing:Transitive_Verb
blank;blanks;is blanking:Transitive_Verb
blaspheme;blasphemes;is blasphemeing:Transitive_Verb
blast;blasts;is blasting:Transitive_Verb
blat;blats;is blating:Transitive_Verb
blaze;blazes;is blazeing:Transitive_Verb
blazon;blazons;is blazoning:Transitive_Verb
blear;blears;is blearing:Transitive_Verb
bleep;bleeps;is bleeping:Transitive_Verb
blemish;blemishs;is blemishing:Transitive_Verb
blend;blends;is blending:Transitive_Verb
blight;blights;is blighting:Transitive_Verb
blind-stamp;blind-stamps;is blind-stamping:Transitive_Verb
blindfold;blindfolds;is blindfolding:Transitive_Verb
blink;blinks;is blinking:Transitive_Verb
blister;blisters;is blistering:Transitive_Verb
blitz;blitzs;is blitzing:Transitive_Verb
bloat;bloats;is bloating:Transitive_Verb
block out;block outs;is block outing:Transitive_Verb
blood;bloods;is blooding:Transitive_Verb
bloom;blooms;is bloomming:Transitive_Verb
blow out;blow outs;is blow outing:Transitive_Verb
blow up;blow ups;is blow uping:Transitive_Verb
blow-wave;blow-waves;is blow-waveing:Transitive_Verb
blow;blows;is blowing:Transitive_Verb
bludgeon;bludgeons;is bludgeoning:Transitive_Verb
blue-pencil;blue-pencils;is blue-pencilling:Transitive_Verb
blueprint;blueprints;is blueprinting:Transitive_Verb
blunder;blunders;is blundering:Transitive_Verb
blunge;blunges;is blungeing:Transitive_Verb
blunt;blunts;is blunting:Transitive_Verb
blurt;blurts;is blurting:Transitive_Verb
blur;blurs;is bluring:Transitive_Verb
bluster;blusters;is blustering:Transitive_Verb
board;boards;is boarding:Transitive_Verb
boast;boasts;is boasting:Transitive_Verb
boat;boats;is boating:Transitive_Verb
bobs;bobss;is bobsing:Transitive_Verb
bobtail;bobtails;is bobtailling:Transitive_Verb
bode;bodes;is bodeing:Transitive_Verb
bodycheck;bodychecks;is bodychecking:Transitive_Verb
body;bodys;is bodying:Transitive_Verb
boldface;boldfaces;is boldfaceing:Transitive_Verb
bollix;bollixs;is bollixing:Transitive_Verb
Bolshevize;Bolshevizes;is Bolshevizeing:Transitive_Verb
bolster;bolsters;is bolstering:Transitive_Verb
bolt;bolts;is bolting:Transitive_Verb
bombard;bombards;is bombarding:Transitive_Verb
bombproof;bombproofs;is bombproofing:Transitive_Verb
booby-trap;booby-traps;is booby-traping:Transitive_Verb
book out;book outs;is book outing:Transitive_Verb
book;books;is booking:Transitive_Verb
boost;boosts;is boosting:Transitive_Verb
boot;boots;is booting:Transitive_Verb
borate;borates;is borateing:Transitive_Verb
border;borders;is bordering:Transitive_Verb
boresight;boresights;is boresighting:Transitive_Verb
bore;bores;is boreing:Transitive_Verb
bosom;bosoms;is bosomming:Transitive_Verb
boss;bosss;is bossing:Transitive_Verb
boswellize;boswellizes;is boswellizeing:Transitive_Verb
botanise;botanises;is botaniseing:Transitive_Verb
botanize;botanizes;is botanizeing:Transitive_Verb
botch;botchs;is botching:Transitive_Verb
bother;bothers;is bothering:Transitive_Verb
bottle up;bottle ups;is bottle uping:Transitive_Verb
bottleneck;bottlenecks;is bottlenecking:Transitive_Verb
bottle;bottles;is bottleing:Transitive_Verb
bottom;bottoms;is bottomming:Transitive_Verb
bounce;bounces;is bounceing:Transitive_Verb
bound;bounds;is bounding:Transitive_Verb
boun;bouns;is bouning:Transitive_Verb
bouse;bouses;is bouseing:Transitive_Verb
bowdlerise;bowdlerises;is bowdleriseing:Transitive_Verb
bowdlerize;bowdlerizes;is bowdlerizeing:Transitive_Verb
bowl over;bowl overs;is bowl overing:Transitive_Verb
bowl;bowls;is bowlling:Transitive_Verb
bown;bowns;is bowning:Transitive_Verb
bow;bows;is bowing:Transitive_Verb
box;boxs;is boxing:Transitive_Verb
boycott;boycotts;is boycotting:Transitive_Verb
bracket;brackets;is bracketing:Transitive_Verb
braid;braids;is braiding:Transitive_Verb
Braille;Brailles;is Brailleing:Transitive_Verb
brail;brails;is brailling:Transitive_Verb
brain-trust;brain-trusts;is brain-trusting:Transitive_Verb
brainwash;brainwashs;is brainwashing:Transitive_Verb
brain;brains;is braining:Transitive_Verb
brake;brakes;is brakeing:Transitive_Verb
brander;branders;is brandering:Transitive_Verb
brandish;brandishs;is brandishing:Transitive_Verb
brand;brands;is branding:Transitive_Verb
brasque;brasques;is brasqueing:Transitive_Verb
brattice;brattices;is bratticeing:Transitive_Verb
brave;braves;is braveing:Transitive_Verb
bray;brays;is braying:Transitive_Verb
brazen;brazens;is brazening:Transitive_Verb
braze;brazes;is brazeing:Transitive_Verb
breach;breachs;is breaching:Transitive_Verb
bread;breads;is breading:Transitive_Verb
break down;break downs;is break downing:Transitive_Verb
break in;break ins;is break ining:Transitive_Verb
break;breaks;is breaking:Transitive_Verb
breast;breasts;is breasting:Transitive_Verb
breathalyse;breathalyses;is breathalyseing:Transitive_Verb
breathe;breathes;is breatheing:Transitive_Verb
brecciate;brecciates;is brecciateing:Transitive_Verb
breech;breechs;is breeching:Transitive_Verb
brew;brews;is brewing:Transitive_Verb
brick;bricks;is bricking:Transitive_Verb
bridge;bridges;is bridgeing:Transitive_Verb
bridle;bridles;is bridleing:Transitive_Verb
brief;briefs;is briefing:Transitive_Verb
brigade;brigades;is brigadeing:Transitive_Verb
brine;brines;is brineing:Transitive_Verb
bring about;bring abouts;is bring abouting:Transitive_Verb
bring down;bring downs;is bring downing:Transitive_Verb
bring forward;bring forwards;is bring forwarding:Transitive_Verb
bring in;bring ins;is bring ining:Transitive_Verb
bring off;bring offs;is bring offing:Transitive_Verb
bring on;bring ons;is bring oning:Transitive_Verb
bring out;bring outs;is bring outing:Transitive_Verb
bring over;bring overs;is bring overing:Transitive_Verb
bring round;bring rounds;is bring rounding:Transitive_Verb
bring to;bring tos;is bring toing:Transitive_Verb
bring up;bring ups;is bring uping:Transitive_Verb
briquette;briquettes;is briquetteing:Transitive_Verb
briquet;briquets;is briqueting:Transitive_Verb
bristle;bristles;is bristleing:Transitive_Verb
broach;broachs;is broaching:Transitive_Verb
broadcast;broadcasts;is broadcasting:Transitive_Verb
brocade;brocades;is brocadeing:Transitive_Verb
broddle;broddles;is broddleing:Transitive_Verb
broider;broiders;is broidering:Transitive_Verb
bromise;bromises;is bromiseing:Transitive_Verb
bromize;bromizes;is bromizeing:Transitive_Verb
bronze;bronzes;is bronzeing:Transitive_Verb
brook;brooks;is brooking:Transitive_Verb
broom;brooms;is broomming:Transitive_Verb
browbeaten;browbeatens;is browbeatening:Transitive_Verb
brown-nose;brown-noses;is brown-noseing:Transitive_Verb
brush aside;brush asides;is brush asideing:Transitive_Verb
brush off;brush offs;is brush offing:Transitive_Verb
brush up;brush ups;is brush uping:Transitive_Verb
brush;brushs;is brushing:Transitive_Verb
brutalise;brutalises;is brutaliseing:Transitive_Verb
brutalize;brutalizes;is brutalizeing:Transitive_Verb
bucket out;bucket outs;is bucket outing:Transitive_Verb
bucket;buckets;is bucketing:Transitive_Verb
buckler;bucklers;is bucklering:Transitive_Verb
buck;bucks;is bucking:Transitive_Verb
buddle;buddles;is buddleing:Transitive_Verb
budget;budgets;is budgeting:Transitive_Verb
buffalo;buffalos;is buffaloing:Transitive_Verb
buffer;buffers;is buffering:Transitive_Verb
buffet;buffets;is buffeting:Transitive_Verb
buff;buffs;is buffing:Transitive_Verb
bugger about;bugger abouts;is bugger abouting:Transitive_Verb
bugger;buggers;is buggering:Transitive_Verb
build into;build intos;is build intoing:Transitive_Verb
build in;build ins;is build ining:Transitive_Verb
build up;build ups;is build uping:Transitive_Verb
build;builds;is building:Transitive_Verb
bull-tongue;bull-tongues;is bull-tongueing:Transitive_Verb
bulldoze;bulldozes;is bulldozeing:Transitive_Verb
bulletin;bulletins;is bulletining:Transitive_Verb
bulletproof;bulletproofs;is bulletproofing:Transitive_Verb
bull;bulls;is bullling:Transitive_Verb
bulwark;bulwarks;is bulwarking:Transitive_Verb
bump off;bump offs;is bump offing:Transitive_Verb
bump start;bump starts;is bump starting:Transitive_Verb
bump up;bump ups;is bump uping:Transitive_Verb
bumper;bumpers;is bumpering:Transitive_Verb
bump;bumps;is bumping:Transitive_Verb
bundle up;bundle ups;is bundle uping:Transitive_Verb
bundle;bundles;is bundleing:Transitive_Verb
bungle;bungles;is bungleing:Transitive_Verb
bung;bungs;is bunging:Transitive_Verb
bunker;bunkers;is bunkering:Transitive_Verb
bunk;bunks;is bunking:Transitive_Verb
buoy;buoys;is buoying:Transitive_Verb
burden;burdens;is burdening:Transitive_Verb
bureaucratize;bureaucratizes;is bureaucratizeing:Transitive_Verb
burglarise;burglarises;is burglariseing:Transitive_Verb
burglarize;burglarizes;is burglarizeing:Transitive_Verb
burke;burkes;is burkeing:Transitive_Verb
burl;burls;is burlling:Transitive_Verb
burn in;burn ins;is burn ining:Transitive_Verb
burn off;burn offs;is burn offing:Transitive_Verb
burn out;burn outs;is burn outing:Transitive_Verb
burn;burns;is burning:Transitive_Verb
burp;burps;is burping:Transitive_Verb
burr;burrs;is burring:Transitive_Verb
bushwhack;bushwhacks;is bushwhacking:Transitive_Verb
bush;bushs;is bushing:Transitive_Verb
busk;busks;is busking:Transitive_Verb
bust;busts;is busting:Transitive_Verb
butcher;butchers;is butchering:Transitive_Verb
butter up;butter ups;is butter uping:Transitive_Verb
butter;butters;is buttering:Transitive_Verb
button up;button ups;is button uping:Transitive_Verb
buttonhole;buttonholes;is buttonholeing:Transitive_Verb
button;buttons;is buttoning:Transitive_Verb
buttress;buttresss;is buttressing:Transitive_Verb
buy in;buy ins;is buy ining:Transitive_Verb
buy off;buy offs;is buy offing:Transitive_Verb
buy out;buy outs;is buy outing:Transitive_Verb
buy up;buy ups;is buy uping:Transitive_Verb
buy;buys;is buying:Transitive_Verb
buzz;buzzs;is buzzing:Transitive_Verb
by-pass;by-passs;is by-passing:Transitive_Verb
bypass;bypasss;is bypassing:Transitive_Verb
ca';ca's;is ca'ing:Transitive_Verb
cabble;cabbles;is cabbleing:Transitive_Verb
cable;cables;is cableing:Transitive_Verb
cache;caches;is cacheing:Transitive_Verb
cackle;cackles;is cackleing:Transitive_Verb
cage;cages;is cageing:Transitive_Verb
cake;cakes;is cakeing:Transitive_Verb
calcimine;calcimines;is calcimineing:Transitive_Verb
calcine;calcines;is calcineing:Transitive_Verb
calculate;calculates;is calculateing:Transitive_Verb
calendar;calendars;is calendaring:Transitive_Verb
calender;calenders;is calendering:Transitive_Verb
calibrate;calibrates;is calibrateing:Transitive_Verb
calk;calks;is calking:Transitive_Verb
call down;call downs;is call downing:Transitive_Verb
call forth;call forths;is call forthing:Transitive_Verb
call in;call ins;is call ining:Transitive_Verb
call off;call offs;is call offing:Transitive_Verb
call out;call outs;is call outing:Transitive_Verb
call up;call ups;is call uping:Transitive_Verb
calliper;callipers;is callipering:Transitive_Verb
call;calls;is callling:Transitive_Verb
calorize;calorizes;is calorizeing:Transitive_Verb
calumniate;calumniates;is calumniateing:Transitive_Verb
camouflage;camouflages;is camouflageing:Transitive_Verb
camphorate;camphorates;is camphorateing:Transitive_Verb
camp;camps;is camping:Transitive_Verb
Canadianize;Canadianizes;is Canadianizeing:Transitive_Verb
canalise;canalises;is canaliseing:Transitive_Verb
canalize;canalizes;is canalizeing:Transitive_Verb
canal;canals;is canalling:Transitive_Verb
candle;candles;is candleing:Transitive_Verb
cane;canes;is caneing:Transitive_Verb
cannibalize;cannibalizes;is cannibalizeing:Transitive_Verb
canonise;canonises;is canoniseing:Transitive_Verb
canonize;canonizes;is canonizeing:Transitive_Verb
cantilever;cantilevers;is cantilevering:Transitive_Verb
canton;cantons;is cantoning:Transitive_Verb
cant;cants;is canting:Transitive_Verb
capacitate;capacitates;is capacitateing:Transitive_Verb
caparison;caparisons;is caparisoning:Transitive_Verb
capitalise;capitalises;is capitaliseing:Transitive_Verb
caponise;caponises;is caponiseing:Transitive_Verb
caponize;caponizes;is caponizeing:Transitive_Verb
capsulize;capsulizes;is capsulizeing:Transitive_Verb
captain;captains;is captaining:Transitive_Verb
captivate;captivates;is captivateing:Transitive_Verb
capture;captures;is captureing:Transitive_Verb
cap;caps;is caping:Transitive_Verb
caramelise;caramelises;is carameliseing:Transitive_Verb
carbolise;carbolises;is carboliseing:Transitive_Verb
carbolize;carbolizes;is carbolizeing:Transitive_Verb
carbonado;carbonados;is carbonadoing:Transitive_Verb
carbonate;carbonates;is carbonateing:Transitive_Verb
carbonise;carbonises;is carboniseing:Transitive_Verb
carbonize;carbonizes;is carbonizeing:Transitive_Verb
carbonylate;carbonylates;is carbonylateing:Transitive_Verb
carburise;carburises;is carburiseing:Transitive_Verb
carcase;carcases;is carcaseing:Transitive_Verb
card;cards;is carding:Transitive_Verb
careen;careens;is careening:Transitive_Verb
caress;caresss;is caressing:Transitive_Verb
care;cares;is careing:Transitive_Verb
caricature;caricatures;is caricatureing:Transitive_Verb
carpenter;carpenters;is carpentering:Transitive_Verb
carpet;carpets;is carpeting:Transitive_Verb
carry away;carry aways;is carry awaying:Transitive_Verb
carry back;carry backs;is carry backing:Transitive_Verb
carry forward;carry forwards;is carry forwarding:Transitive_Verb
carry off;carry offs;is carry offing:Transitive_Verb
carry on;carry ons;is carry oning:Transitive_Verb
carry out;carry outs;is carry outing:Transitive_Verb
carry over;carry overs;is carry overing:Transitive_Verb
carry through;carry throughs;is carry throughing:Transitive_Verb
cart off;cart offs;is cart offing:Transitive_Verb
cart;carts;is carting:Transitive_Verb
carve out;carve outs;is carve outing:Transitive_Verb
carve up;carve ups;is carve uping:Transitive_Verb
carve;carves;is carveing:Transitive_Verb
case-harden;case-hardens;is case-hardening:Transitive_Verb
caseharden;casehardens;is casehardening:Transitive_Verb
case;cases;is caseing:Transitive_Verb
cashier;cashiers;is cashiering:Transitive_Verb
cash;cashs;is cashing:Transitive_Verb
cast down;cast downs;is cast downing:Transitive_Verb
castigate;castigates;is castigateing:Transitive_Verb
castrate;castrates;is castrateing:Transitive_Verb
catalog;catalogs;is cataloging:Transitive_Verb
catalyse;catalyses;is catalyseing:Transitive_Verb
catalyze;catalyzes;is catalyzeing:Transitive_Verb
catapult;catapults;is catapulting:Transitive_Verb
catch out;catch outs;is catch outing:Transitive_Verb
catch up;catch ups;is catch uping:Transitive_Verb
catch;catchs;is catching:Transitive_Verb
catechise;catechises;is catechiseing:Transitive_Verb
catechize;catechizes;is catechizeing:Transitive_Verb
categorise;categorises;is categoriseing:Transitive_Verb
categorize;categorizes;is categorizeing:Transitive_Verb
catheterise;catheterises;is catheteriseing:Transitive_Verb
catheterize;catheterizes;is catheterizeing:Transitive_Verb
catholicise;catholicises;is catholiciseing:Transitive_Verb
cause;causes;is causeing:Transitive_Verb
cauterise;cauterises;is cauteriseing:Transitive_Verb
cauterize;cauterizes;is cauterizeing:Transitive_Verb
caution;cautions;is cautioning:Transitive_Verb
cavern;caverns;is caverning:Transitive_Verb
cave;caves;is caveing:Transitive_Verb
cede;cedes;is cedeing:Transitive_Verb
ceil;ceils;is ceilling:Transitive_Verb
celebrate;celebrates;is celebrateing:Transitive_Verb
cellar;cellars;is cellaring:Transitive_Verb
cellulate;cellulates;is cellulateing:Transitive_Verb
cement;cements;is cementing:Transitive_Verb
cense;censes;is censeing:Transitive_Verb
censor;censors;is censoring:Transitive_Verb
centerpunch;centerpunchs;is centerpunching:Transitive_Verb
centralise;centralises;is centraliseing:Transitive_Verb
centre;centres;is centreing:Transitive_Verb
centrifugalise;centrifugalises;is centrifugaliseing:Transitive_Verb
centrifugalize;centrifugalizes;is centrifugalizeing:Transitive_Verb
centrifuge;centrifuges;is centrifugeing:Transitive_Verb
centuple;centuples;is centupleing:Transitive_Verb
centuplicate;centuplicates;is centuplicateing:Transitive_Verb
cere;ceres;is cereing:Transitive_Verb
certificate;certificates;is certificateing:Transitive_Verb
certify;certifys;is certifying:Transitive_Verb
cess;cesss;is cessing:Transitive_Verb
chafe;chafes;is chafeing:Transitive_Verb
chaffer;chaffers;is chaffering:Transitive_Verb
chainstitch;chainstitchs;is chainstitching:Transitive_Verb
chain;chains;is chaining:Transitive_Verb
chair;chairs;is chairing:Transitive_Verb
chalk out;chalk outs;is chalk outing:Transitive_Verb
chalk up;chalk ups;is chalk uping:Transitive_Verb
chalk;chalks;is chalking:Transitive_Verb
chamber;chambers;is chambering:Transitive_Verb
chamfer;chamfers;is chamfering:Transitive_Verb
chamois;chamoiss;is chamoising:Transitive_Verb
champion;champions;is championing:Transitive_Verb
chance;chances;is chanceing:Transitive_Verb
change;changes;is changeing:Transitive_Verb
channelize;channelizes;is channelizeing:Transitive_Verb
chaperone;chaperones;is chaperoneing:Transitive_Verb
chaptalize;chaptalizes;is chaptalizeing:Transitive_Verb
chapter;chapters;is chaptering:Transitive_Verb
characterise;characterises;is characteriseing:Transitive_Verb
characterize;characterizes;is characterizeing:Transitive_Verb
character;characters;is charactering:Transitive_Verb
charcoal;charcoals;is charcoalling:Transitive_Verb
charge;charges;is chargeing:Transitive_Verb
chark;charks;is charking:Transitive_Verb
charm;charms;is charmming:Transitive_Verb
charter;charters;is chartering:Transitive_Verb
chart;charts;is charting:Transitive_Verb
char;chars;is charing:Transitive_Verb
chase;chases;is chaseing:Transitive_Verb
chasten;chastens;is chastening:Transitive_Verb
chastise;chastises;is chastiseing:Transitive_Verb
chat up;chat ups;is chat uping:Transitive_Verb
cheat;cheats;is cheating:Transitive_Verb
check in;check ins;is check ining:Transitive_Verb
checkmate;checkmates;is checkmateing:Transitive_Verb
checkrow;checkrows;is checkrowing:Transitive_Verb
check;checks;is checking:Transitive_Verb
cheek;cheeks;is cheeking:Transitive_Verb
cheese;cheeses;is cheeseing:Transitive_Verb
chemisorb;chemisorbs;is chemisorbing:Transitive_Verb
chequer;chequers;is chequering:Transitive_Verb
cherish;cherishs;is cherishing:Transitive_Verb
chew out;chew outs;is chew outing:Transitive_Verb
chew over;chew overs;is chew overing:Transitive_Verb
chew up;chew ups;is chew uping:Transitive_Verb
chiack;chiacks;is chiacking:Transitive_Verb
chicane;chicanes;is chicaneing:Transitive_Verb
chill;chills;is chillling:Transitive_Verb
chime;chimes;is chimeing:Transitive_Verb
chine;chines;is chineing:Transitive_Verb
chink;chinks;is chinking:Transitive_Verb
